Title,Published_date,Views,Likes,Comments
Why China is Pakistan’s Best Ally | Threat to India? | World Affairs,2024-04-12T14:00:23Z,37530,1575,76
India's BIG Loss in Semiconductor Industry? Geopolitical Analysis by World Affairs,2024-04-12T12:00:20Z,65213,3634,367
Pakistan's Economy is Collapsing - Asian Development Bank | World Affairs,2024-04-12T10:15:05Z,84786,3871,240
Arab Spring Revolution - Establishment of Democracy and End of Dictatorship in Middle East,2024-04-12T07:00:08Z,74065,3075,177
When Mecca 🕋 was Hostaged 😱| Siege of Mecca - Cinematic Video by World Affairs,2024-04-11T14:30:17Z,103810,5147,529
IMEC vs SUEZ Canal | India & UAE to work on IMEC Corridor Protocols | World Affairs,2024-04-11T11:45:01Z,52921,2944,131
ISIS Issues Threat to Attack Champions League Matches | World Affairs,2024-04-11T09:20:01Z,60758,3324,375
Allegations on India by Canada Proved Wrong ❌ | World Affairs,2024-04-11T04:30:06Z,46798,2561,97
"Rise, Fall & Rebirth | ISIS is back again and Threatens to be Dangerous😨 | World Affairs",2024-04-10T14:35:00Z,133201,4971,365
Iran To Attack Israel after 12 April? | Khamenei's Warning to Israel | World Affairs,2024-04-10T11:40:00Z,47846,2186,153
INDIA Secures Rights to Operate SITTWE Port in Myanmar | Explained by World Affairs,2024-04-10T09:45:00Z,72692,3855,124
RUSSIA - India’s Oldest and Most Reliable Partner 🤝  | India-Russia Relations | World Affairs,2024-04-10T08:30:03Z,50677,3461,210
Burn your Wives Sarees - Bangladesh's Sheikh Hasina slams 'India Out' movement #shorts,2024-04-09T17:07:12Z,33266,2207,33
Hamas vs Palestinian Authority | Civil war in Palestine after Israel leaves? World Affairs,2024-04-09T15:45:02Z,79534,4450,189
Why ISRAEL has the Worst Geography | World Affairs,2024-04-09T13:30:15Z,36429,2088,192
GOOD NEWS for India 🇮🇳 | Is INDIA about to join AUKUS? World Affairs,2024-04-09T11:15:30Z,38614,2326,139
Putin WARNS as Germany Deploys Troops to NATO Nation 😱 | World Affairs,2024-04-09T09:00:19Z,105893,4732,202
How is INDIA Countering Chinese threat in Geopolitics | World Affairs,2024-04-09T07:30:02Z,78808,3678,196
ISIS V/S Taliban | Why is Afghanistan still in Conflict? | World Affairs,2024-04-08T16:00:39Z,83057,3302,212
India's Biggest Mistake | Was Gwadar Port City Offered to India? World Affairs,2024-04-08T13:45:02Z,29300,1831,199
SMART Move by ISRAEL | Will Israel Gaza Conflict come to an end?  Explained by World Affairs,2024-04-08T09:30:06Z,112760,6115,579
Will Pakistan be able to survive against Pakistani Taliban | World Affairs,2024-04-06T14:30:14Z,69860,3054,123
INDIA vs CHINA | Who will WIN the Semiconductor WAR? Explained by WORLD AFFAIRS,2024-04-05T15:15:00Z,55545,2824,138
ISRAEL on HIGH Alert after IRAN's Threat | 48 घंटे में कुछ बड़ा होने वाला है! World Affairs,2024-04-05T09:00:42Z,129650,5854,427
Israel attacks Iranian Embassy in Syria's Capital Damascus #shorts #worldaffairs,2024-04-05T05:41:56Z,97897,6524,109
What Is the World Bank? Why World Bank warns Pakistan? | Explained by World Affairs,2024-04-05T03:30:07Z,29481,1652,58
Discovery of OIL reserves in BIHAR | Oil exploration in Ganga River basin | World Affairs,2024-04-04T15:45:01Z,245818,7690,759
Pakistan-Based Jaish Al Adl Attacked on IRAN | IRGC Base Targeted | World Affairs,2024-04-04T13:15:00Z,36091,2224,103
Russia's HUGE Attack on FRANCE Fighters in Ukraine | World Affairs,2024-04-04T10:30:19Z,96208,5416,189
Ukraine gets NATO Membership😱? FRANCE send troops to UKRAINE | World Affairs,2024-04-04T07:45:01Z,79816,4663,302
A Rare Speech of Sarojini Naidu Greeting Americans In 1928 #shorts #worldaffairs,2024-04-04T04:30:22Z,912368,75823,544
PUTIN vs THE WEST | Why are so many coups happening in Africa? | Explained by World Affairs,2024-04-03T16:00:05Z,53406,2695,80
TRUMP vs BIDEN - Who's leading the Polls? Geopolitics Analysis by Aditya Pratap | World Affairs,2024-04-03T14:00:50Z,48667,2960,146
Ukrainians don't want to fight the war | Big Boost for Russia | World Affairs,2024-04-03T10:05:00Z,117279,5452,292
Will India Stop Producing Nuclear Weapons? Why India Rejected Nuclear Non-Proliferation Treaty (NPT),2024-04-03T03:30:19Z,19207,1083,44
Saudi Arabia is Failing? | Saudi Arabia's OIL problem | Geopolitics Analysis | World Affairs,2024-04-02T15:45:04Z,114762,5205,225
Economy बचाने के लिए पाकिस्तान ने खेला Masterstroke | World Affairs #shorts,2024-04-02T14:03:44Z,43416,2215,34
S. Jaishankar on Boundary Issue With China | Arunachal Pradesh | World Affairs,2024-04-02T13:30:08Z,31063,2025,159
Ladakh's Protest for Statehood and Implementation of 6th Schedule | Sonam Wangchuk | World Affairs,2024-04-02T11:30:07Z,41150,2474,276
ISRAEL Attacks Iranian Embassy in Syria's Capital Damascus | Will IRAN retaliate? | World Affairs,2024-04-02T07:40:00Z,31124,2063,96
What Is Five Eyes Alliance That Prompted Trudeau's Allegations | Explained by World Affairs,2024-04-02T03:32:55Z,12536,788,32
Why PUTIN hates NATO | History of NATO | World Affairs,2024-04-01T16:00:43Z,33127,1905,83
Origin of the Nile River dispute | The Nile Conflict Explained by Aditya Pratap | World Affairs,2024-04-01T14:15:06Z,28312,1553,64
"""For Pt Nehru, it was Nuisance” -  S Jaishankar Slams Congress over Katchatheevu | World Affairs",2024-04-01T11:30:24Z,30927,2302,161
Pakistan में Red Carpet बिछाने के भी पैसे नहीं है | By Aditya Pratap | World Affairs,2024-04-01T09:15:00Z,93944,5041,399
What are Private Armies in the World? How do they work? | BLACKWATER | WAGNER GROUP | World Affairs,2024-03-31T15:00:13Z,48559,2259,132
क्या भारत OIC का सदस्य बनेगा? Formation of Organisation of Islamic Cooperation - OIC | World Affairs,2024-03-31T03:30:03Z,38292,2225,225
Israel attacks on Syria’s Aleppo | Russia and IRAN Furious over ISRAEL Attacks | World Affairs,2024-03-30T11:15:02Z,102948,5932,277
Indian Navy saves 23 Pakistani from Somali Pirates in Arabian Sea | World Affairs,2024-03-30T08:15:00Z,13471,897,44
Why Does Pakistan Want to Join the BRICS? Explained by World Affairs,2024-03-30T04:30:19Z,30448,2030,154
Joe Biden's Middle East Mess | Geopolitics Analysis Series | World Affairs,2024-03-29T15:30:14Z,46843,2542,111
Decoding S Jaishankar's Foreign Policy Impact | World Affairs,2024-03-29T13:45:02Z,38697,3057,132
Arab Countries Ready to Recognise ISRAEL | Big Statement by Joe Biden | World Affairs,2024-03-29T11:00:02Z,41403,2790,224
India Joins the Deep Sea Race | India's message for CHINA? World Affairs,2024-03-29T08:15:00Z,44756,2294,68
How QUAD Nations Can Tackle China's Rise : Explained by World Affairs,2024-03-29T03:30:02Z,19296,1365,45
China’s Uyghur Muslims Genocide: Why are Islamic Countries Silent? | World Affairs,2024-03-28T14:30:16Z,78483,4531,705
Does Ukraine seek India's help to counter Russia? World Affairs,2024-03-28T11:17:39Z,36725,2402,119
Jaishankar's Huge Statement on Palestine | Israel-Hamas Conflict | World Affairs,2024-03-28T09:00:15Z,53529,3143,192
Can Putin revive the Warsaw Pact against NATO's Military Alliance : Explained by World Affairs,2024-03-28T03:30:16Z,74509,3361,77
Baloch Liberation Army | Balochistan Geopolitical Importance Explained | World Affairs,2024-03-27T13:45:00Z,54414,2985,178
Israel cancels Washington visit after US allows UN Gaza ceasefire resolution to pass | World Affairs,2024-03-27T11:15:05Z,40865,2503,156
Centre to consider revoking AFSPA in Jammu & Kashmir - Amit Shah | World Affairs,2024-03-27T08:45:00Z,39131,2493,79
Is China losing the MICROCHIP WAR? How INDIA is entering the CHIP Market? World Affairs,2024-03-26T15:00:12Z,68091,3849,144
Pakistan's Second Biggest Naval Base Attacked | China Angry with Pakistan | World Affairs,2024-03-26T12:00:01Z,58755,3476,202
BIG Reveal in Moscow Attack | Was NATO aware that ISIS would Attack? | World Affairs,2024-03-26T10:00:13Z,96764,5454,254
How USA Gave Birth to the Middle Eastern Crisis? | History of Gulf War Explained | World Affairs,2024-03-25T13:30:08Z,97257,3120,123
Formation of ISIS | The Most Active Brutal Terrorist Group In Modern History | World Affairs,2024-03-24T03:15:01Z,163005,7441,865
How Kashmir is Changing under Modi Govt | Removal of article 370 | World Affairs,2024-03-23T15:15:02Z,41919,2589,180
China's Coast Guards Attack Philippines Ship in South China Sea | World Affairs,2024-03-23T11:15:01Z,40924,2719,73
Terrorist Attack in RUSSIA | ISIS Claims Responsibility | PM Modi on Moscow Attack | World Affairs,2024-03-23T07:31:09Z,54641,3012,275
How India and China Save Russia's Economy? Geopolitics Analysis | World Affairs,2024-03-22T15:00:53Z,46613,2747,98
Illegal Rohingya have no right to settle in INDIA - Government in Supreme Court | World Affairs,2024-03-22T11:15:01Z,78388,5104,462
Another IMF Bailout For Pakistan? Pakistan's Endless Economic Crisis | World Affairs,2024-03-22T08:30:23Z,95553,3482,145
Why did the GULF War Happen? | Birth of Middle East crisis | Final Episode | World Affairs,2024-03-22T04:30:05Z,36257,2039,84
USA's Global Dominance is Ending | US Hegemony in World Politics | World Affairs,2024-03-21T15:15:04Z,114233,5964,242
ISIS India Head Arrested in Assam | Who is Harris Ajmal Farooqui? World Affairs,2024-03-21T11:15:00Z,188737,11324,920
PAKISTAN's Gwadar Port attacked | BLA claims responsibility | World Affairs,2024-03-21T08:15:03Z,45011,2775,224
Putin warns of 'World War 3' after record victory in Russian election #shorts,2024-03-20T17:22:45Z,59395,5335,47
Why Indian Diaspora is so Powerful | INDIAN Diaspora UPSC | World Affairs,2024-03-20T13:34:00Z,66966,3425,197
"USA stands with Philippines Against CHINA | USA's ""IRONCLAD COMMITMENT"" | World Affairs",2024-03-20T11:15:04Z,36550,2212,62
Air Strikes in Myanmar - 25 Killed | How will this Impact INDIA? World Affairs,2024-03-20T08:15:00Z,111916,6527,302
Why Russia's Biggest Threat is CHINA and not USA | Geopolitics Analysis | World Affairs,2024-03-19T14:30:23Z,137126,5937,271
Niger ends military agreement with USA | Is USA losing its Relevance? World Affairs,2024-03-19T11:30:17Z,40817,2594,62
India Slams Pakistan at United Nations | Islamophobia | Ruchira Kamboj UN Speech | World Affairs,2024-03-19T08:30:30Z,19096,1306,60
IRAQ-IRAN WAR | Saddam Hussein vs Ruhollah Khomeini | Gulf War | Shia vs Sunni | World Affairs,2024-03-19T06:45:01Z,95063,2681,86
Central Asia Crises - Water Wars are Coming | Geopolitics Analysis Series | World Affairs,2024-03-18T16:30:06Z,30063,1986,47
Pakistan carried out Air strike on Afghanistan | When will Taliban Hit back? | World Affairs,2024-03-18T14:02:18Z,30484,2003,65
North Korea fires ballistic missiles as Blinken visits Seoul | World Affairs,2024-03-18T11:00:11Z,53935,3182,160
Why Saudi Arabia turned down the ideology of radical Islam? | World Affairs,2024-03-18T09:15:02Z,274568,10674,1321
Viral Trend What's Wrong with INDIA? Israeli Embassy Answers | World Affairs,2024-03-17T13:30:39Z,67855,4175,145
How Russia's Election will Change Russia-Ukraine War? Russia's Election 2024 | World Affairs,2024-03-16T16:00:19Z,34231,2127,63
"Why USA, Russia and China want Arctic Ocean? | World Affairs",2024-03-16T13:39:40Z,53331,2676,66
Chinese New Game-Changing Trade Route | Not Good for INDIA | Geopolitical Analysis | World Affairs,2024-03-15T14:00:29Z,99011,4890,164
Why the World is Against CAA? Citizenship Amendment Act | World Affairs,2024-03-15T11:35:13Z,49851,3402,327
How USA's Lobito Corridor will counter China's Belt and Road Initiative in Africa? World Affairs,2024-03-14T16:21:58Z,68531,4250,112
Putin Says Russia is ready for Nuclear War | World Affairs,2024-03-14T10:35:34Z,98582,5430,213
Scorpene Submarine : India's Silent Killer | World Affairs,2024-03-12T16:38:00Z,125364,7342,226
Rise of Ruhollah Khomeini | IRAN HISTORY | Gulf War | Part 2,2024-03-11T15:32:00Z,97962,4516,173
How USA controls the World from it's Military Bases? | Explained By Sudarshan Gurjar | World Affairs,2024-03-08T14:45:03Z,115640,6903,233
Rise of Saddam Hussein | History of Gulf War | World Affairs,2024-03-06T13:30:00Z,149785,6767,219
Top 5 Choke Points of the World with MAP Animation | By Sudarshan Gurjar | World Affairs,2024-03-04T16:39:38Z,62549,4286,107
"A metaverse gateway provides a glimpse of Bhutan's art, culture, and architecture #shorts",2024-03-03T14:00:31Z,61571,4911,26
Why is United Nations Failing | America’s Weapon Industry Influence? World Affairs,2024-03-03T09:46:46Z,122429,6787,211
3 Strategic Locations of INDIA | By Sudarshan Gurjar | World Affairs,2024-03-01T15:41:05Z,174058,9744,321
Gaganyaan Mission: PM Modi announces four astronaut-designates #shorts,2024-02-28T14:38:56Z,138485,14882,169
A Russian spy plane worth 2700 crore is destroyed by Ukraine #shorts,2024-02-27T11:30:07Z,132615,9220,53
"Saudi Arabia will return to moderate Islam, says the crown prince #shorts",2024-02-25T09:09:26Z,948872,56672,1488
Russia's Bold Move: 'Full Control' of Ukraine's Avdiivka | What's Next? #shorts,2024-02-21T15:38:20Z,180751,16156,104
Why PAKISTAN is a Prisoner of Geography? Geopolitical Chess-Board by Sudarshan Gurjar | #Ep4,2024-02-19T13:30:13Z,235310,11826,876
ISRO Launches INSAT-3DS Weather Forecasting Satellite #shorts,2024-02-18T16:30:37Z,71074,6662,33
Can Imran Khan-backed candidates form a truly 'Independent' government in Pakistan? #shorts,2024-02-16T13:45:00Z,258249,18152,73
Chinese share market lowest in 5 years? Why? UPSC Current Affairs #shorts  @TheMrunalPatel,2024-02-15T10:30:14Z,109594,5634,73
Why AMERICA is a Prisoner of Geography? Geopolitical Chess-Board by Sudarshan Gurjar | #Ep3,2024-02-13T14:45:00Z,203654,10011,535
Why CHINA is a Prisoner of Geography? Geopolitical Chess-Board by Sudarshan Gurjar | #Ep2,2024-01-31T14:01:50Z,450417,22608,1346
Daily Current Affairs | 25 January 2024 | Chandramouli Choudhary,2024-01-25T03:00:18Z,89405,1501,
Daily Current Affairs | 24 January 2024 | Chandramouli Choudhary,2024-01-24T04:30:17Z,52105,1117,
Why RUSSIA is Prisoner of Geography? Geopolitical Chess-Board by Sudarshan Gurjar | #Ep1,2024-01-23T14:30:24Z,587869,46686,5230
Daily Current Affairs | 23 January 2024 | Chandramouli Choudhary,2024-01-23T05:30:02Z,35518,826,55
Throwing Indians out of our country was a mistake says Uganda #shorts,2024-01-22T13:51:56Z,1306100,123565,1282
Ram Mandir Will Give India's Economy a Boost - SBI Research | More Visitors than Vatican and Mecca,2024-01-22T09:55:17Z,1118145,82305,6087
Daily Current Affairs | 22 January 2024 | Chandramouli Choudhary,2024-01-22T04:45:01Z,17394,611,21
"Shri Ram Janmabhoomi Mandir built to last 1,000 Years!!! #shorts",2024-01-21T16:53:37Z,1168959,139546,1194
Boy Died in Maldives Because President Refused Indian Help | भारत के विरोध में अंधे हुए मुइज्जू,2024-01-21T12:18:00Z,955052,57191,2778
Daily Current Affairs | 21 January 2024 | Chandramouli Choudhary,2024-01-21T03:45:02Z,14867,582,20
Japan Joins India on the Moon with SLIM Mission | But the Lander is not working,2024-01-20T08:53:05Z,689365,41832,1477
Daily Current Affairs | 20 January 2024 | Chandramouli Choudhary,2024-01-20T02:45:01Z,15712,652,26
"After Pakistan, Israel Announces Attacks on Iran #shorts",2024-01-19T13:27:47Z,1013883,91822,1359
Daily Current Affairs | 19 January 2024 | Chandramouli Choudhary,2024-01-19T03:30:11Z,19795,669,26
Video of Pakistan's Attack on Iran goes Viral |  Islamic Republic attacks Islamic Republic,2024-01-18T14:35:30Z,1120382,63501,3426
India Officially Defends Iran over Pakistan Attack | We understand why Iran attacked Pakistan,2024-01-18T08:26:09Z,882138,54676,2285
Daily Current Affairs | 18 January 2024 | Chandramouli Choudhary,2024-01-18T03:00:22Z,17257,702,43
Pakistan kicks out Iran's Ambassador after Humiliation| Will Pakistan Bomb Islamic Republic of Iran?,2024-01-17T15:53:11Z,844115,51364,3816
Beautiful video of Trump and Vivek Ramaswamy together crowd chants VP VP VP #shorts,2024-01-17T08:47:22Z,602242,62511,722
Iran Attacks Pakistan as Jaishankar visits Tehran | Pakistan Protests STOP ATTACKING US,2024-01-17T07:36:48Z,1273970,65651,5144
Daily Current Affairs | 17 January 2024 | Chandramouli Choudhary,2024-01-17T03:30:03Z,15473,669,17
Only India can do this | Jaishankar tells Iran on its Soil that we are concerned about attacks,2024-01-16T16:55:53Z,769243,50840,1448
"Vivek Ramaswamy Gives up, Trump Wins | USA Will not get first Indian Origin President",2024-01-16T12:15:10Z,860861,51845,3415
Daily Current Affairs | 16 January 2024 | Chandramouli Choudhary,2024-01-16T03:15:01Z,12964,613,22
Putin and PM Modi wish each other for Elections | Phone call makes Global News,2024-01-15T17:24:37Z,620294,45392,1066
India's Drone Project FAILS but Adani and Israel can still help Indian Military #shorts,2024-01-15T09:22:13Z,845261,90258,1391
Daily Current Affairs | 15 January 2024 | Chandramouli Choudhary,2024-01-15T03:45:00Z,18378,744,25
Maldives tells India to remove Military by 15th March | Will China replace India in Maldives?,2024-01-14T17:03:27Z,1054333,54602,4202
Trump calls Vivek Ramaswamy a Fraud and a Vegetarian #shorts,2024-01-14T11:23:12Z,936442,92268,2123
Daily Current Affairs | 14 January 2024 | Chandramouli Choudhary,2024-01-14T03:00:07Z,13247,460,9
"Maldives is small, but You cannot Bully us says Muizzu | Direct attack at India",2024-01-13T15:58:13Z,894969,55870,4938
India will have 100 Million Rich People by 2027 | US Report Predicts a Rich India,2024-01-13T12:08:32Z,626274,40315,2850
ISRO and Shah Rukh Khan win Indian of the Year Award #shorts,2024-01-13T07:49:18Z,425671,54822,2522
Daily Current Affairs | 13 January 2024 | Chandramouli Choudhary,2024-01-13T03:30:18Z,17297,693,23
ATAL SETU Bridge is ready as PM Modi thanks Japan for Loans | Will this Bridge Cost 1.5 Lakh yearly?,2024-01-12T16:15:32Z,1000690,59730,4071
Daily Current Affairs | 12 January 2024 | Chandramouli Choudhary,2024-01-12T03:30:21Z,15587,645,27
Russia is now Europe's Largest Economy says Putin | China India & Russia will dominate World Economy,2024-01-11T17:09:27Z,826137,49950,1897
India's Influence is a Threat says Maldives | Video of Xi Jinping with Maldives President goes viral,2024-01-11T14:01:59Z,930028,52452,3091
Ukraine and Russia fight for India's Investment worth Billions #shorts,2024-01-11T10:51:24Z,713193,82904,1014
Daily Current Affairs | 11 January 2024 | Chandramouli Choudhary,2024-01-11T03:46:26Z,15525,704,25
PM Modi welcomes his Brother UAE President to India for Gujarat Summit | India Israel and UAE I2U2,2024-01-10T17:09:53Z,807912,56422,1750
Maldives asks China for Tourists after Indians Boycott | Can China Replace India?,2024-01-10T09:09:56Z,866633,54062,3751
Daily Current Affairs | 10 January 2024 | Chandramouli Choudhary,2024-01-10T03:45:00Z,13614,705,117
"After Israel, TATA Group Announces Major Hotel Project for Lakshadweep Islands #shorts",2024-01-09T10:22:55Z,865093,118744,1449
Daily Current Affairs | 9 January 2024 | Chandramouli Choudhary,2024-01-09T04:30:51Z,23168,965,33
Israel's Huge Statement on Maldives India Fight | Israel Supports Lakshadweep,2024-01-08T16:38:32Z,1167626,78928,4886
Indians are ANGRY at Maldives and Boycotting Maldives | 3 Ministers Suspended in Maldives,2024-01-08T09:39:01Z,1215536,80661,7084
Daily Current Affairs | 8 January 2024 | Chandramouli Choudhary,2024-01-08T03:15:03Z,21212,972,106
France calls World to visit Kashmir | This is why France is India's Best Friend,2024-01-07T14:12:13Z,801695,60309,1406
Now Bollywood Stars promote Lakshadweep after PM Modi's visit #shorts,2024-01-07T11:00:14Z,965047,138898,2023
Daily Current Affairs | 7 January 2024 | Chandramouli Choudhary,2024-01-07T04:15:01Z,22684,1132,33
PM Modi's Pictures from Lakshadweep has made Maldives very nervous,2024-01-06T14:32:26Z,1266672,88477,5621
This is how USA will fail Predicts Putin’s Ally #shorts,2024-01-06T12:02:35Z,635521,65360,1187
Daily Current Affairs | 6 January 2024 | Chandramouli Choudhary,2024-01-06T04:00:13Z,13554,483,12
Video of Indian Commandos Saving a Ship Goes Viral | Indian Navy Makes India Proud,2024-01-05T17:58:49Z,1241393,79698,2814
USA wants India's help against Yemen's Houthi Rebels | Difficult Decision for India,2024-01-05T11:50:13Z,625995,38576,2550
India shows Russia what is RAW Geopolitics | No permanent friends and no permanent enemies #shorts,2024-01-05T10:17:48Z,947312,108469,542
Daily Current Affairs | 5 January 2024 | Chandramouli Choudhary,2024-01-05T04:30:21Z,13191,565,10
The New BRICS map looks insane #shorts,2024-01-04T14:38:33Z,999888,96961,495
India is Shocked and Sad at Iran blasts | Will India support Iran or Israel?,2024-01-04T13:02:00Z,779838,46157,4800
France is like India's Laxman | Jaishankar explains which country is India's Best Friend,2024-01-04T07:12:15Z,713915,49365,3677
India will have to pay Elon Musk Millions for a Satellite Launch #shorts,2024-01-03T08:56:33Z,1335331,141787,1056
Daily Current Affairs | 3 January 2024 | Chandramouli Choudhary,2024-01-03T04:30:08Z,22040,840,27
2024 will be an Absolutely Insane Year | 50% of Earth's Population will Vote By Prashant Dhawan,2024-01-02T17:08:38Z,603143,37332,2584
India becomes The Second Country in the World to do this | EXPOSAT Even China does not have a XpoSat,2024-01-02T07:25:42Z,787055,46445,1792
Daily Current Affairs | 2 January 2024 | Chandramouli Choudhary,2024-01-02T04:50:00Z,12097,493,17
Daily Current Affairs | 1 January 2024 | Chandramouli Choudhary,2024-01-01T04:30:09Z,21567,727,85
Is North Korea going to attack South Korea soon? This could be the 3rd Major War,2023-12-31T11:08:16Z,720098,43892,3669
Is India Sending a Message to USA with France and Russia?? Deep Geopolitics,2023-12-31T08:59:48Z,897779,52063,2594
Daily Current Affairs | 31 December 2023 | Chandramouli Choudhary,2023-12-31T04:36:17Z,14106,552,20
India earned back the entire cost of Chandrayaan 3 with this move #shorts,2023-12-30T16:01:32Z,1071666,117999,1215
Pakistan Bans New Year Celebration Because of Israel | Only Islamic Country to Do this,2023-12-30T12:55:34Z,573024,33556,3933
India Declares Canada-based gangster as a Terrorist,2023-12-30T07:08:05Z,711012,42047,1667
Daily Current Affairs | 30 December 2023 | Chandramouli Choudhary,2023-12-30T04:34:21Z,11416,496,13
India will become 4th Country with 50 Satellites  | India's Mega 5 Year plan,2023-12-29T16:01:00Z,549533,38568,1431
Daily Current Affairs | 29 December 2023 | Chandramouli Choudhary,2023-12-29T04:15:00Z,13949,585,26
India is now a Super Power in Global Stock Market #shorts,2023-12-28T13:55:46Z,1007067,133165,1351
Great News for India!! 8 Indian Navy Officials in Qatar are Saved from Death Sentence,2023-12-28T12:54:58Z,555188,40841,2261
Daily Current Affairs | 28 December 2023 | Chandramouli Choudhary,2023-12-28T03:30:18Z,18754,800,25
India will now show true Power as 3 Destroyer Ships are deployed in Arabian Sea #shorts,2023-12-27T13:26:11Z,2870934,247142,1987
Israel issues Travel Advisory for India | Bomb Blast in Delhi a Terror Attack on Israel?,2023-12-27T10:18:05Z,733961,40249,1691
Daily Current Affairs | 27 December 2023 | Chandramouli Choudhary,2023-12-27T03:30:19Z,11598,470,18
History Made by Indian Rupee | First rupee payment for oil to UAE | No Takers for Indian Rupee?,2023-12-26T16:39:16Z,675606,42524,1521
This Photo of S. Jaishankar in Russia went Viral | India Russia Currency Agreement possible?,2023-12-26T13:20:35Z,875604,55219,1410
This is why Indians respect Israel more than Taiwan #shorts,2023-12-26T10:33:16Z,1277282,120305,2402
Iran did not Attack Ship near India | Should India trust Iran or USA?,2023-12-26T07:48:05Z,604310,35769,3801
Daily Current Affairs | 26 December 2023 | Chandramouli Choudhary,2023-12-26T04:50:00Z,9602,489,14
"China Warns India over VIVO Arrest Case | ""Don't Discriminate against China""",2023-12-25T15:07:01Z,841122,48031,3770
Don't compare India with China says PM Modi #shorts,2023-12-25T10:21:04Z,1301583,120119,2916
Daily Current Affairs | 25 December 2023 | Chandramouli Choudhary,2023-12-25T05:30:02Z,13325,537,14
DON'T WORRY ABOUT INDIA's DEBT Says Government after IMF's 100% Debt GDO Ratio Warning,2023-12-24T14:44:27Z,781081,46629,2172
"This will hurt India, USA and Europe as Iran warns to block the Mediterranean Sea",2023-12-24T08:40:06Z,633808,34816,1896
Daily Current Affairs | 24 December 2023 | Chandramouli Choudhary,2023-12-24T04:00:14Z,11913,519,28
Drone Attack on Ship Near India | India sends navy to help | Israel Hamas War Impact,2023-12-23T15:17:09Z,802431,42791,2056
China is Preparing for a Nuclear Test? World is worried about this #shorts,2023-12-23T13:44:22Z,911429,82000,465
Daily Current Affairs | 23 December 2023 | Chandramouli Choudhary,2023-12-23T03:15:01Z,15500,634,34
Macron replaces Biden as India's Republic Day Guest | USA OUT and FRANCE is IN,2023-12-22T17:40:34Z,601752,40684,1678
India will Not become a Global Power like this | India's Defence Research Budget is too LOW,2023-12-22T13:10:26Z,600294,37709,2407
Daily Current Affairs | 22 December 2023 | Chandramouli Choudhary,2023-12-22T03:00:04Z,18938,733,26
IMF Warns India about rising Debt | भारत का कर्ज बढ़ता जा रहा है | Debt to GDP ratio | World Affairs,2023-12-21T14:50:37Z,982193,48440,3776
Daily Current Affairs | 21 December 2023 | Chandramouli Choudhary,2023-12-21T05:04:48Z,18203,732,22
I'm deeply concerned about Extremist Groups Overseas says PM Modi over US Charges on Pannun issue,2023-12-20T13:26:52Z,692928,42378,1841
Daily Current Affairs | 20 December 2023 | Chandramouli Choudhary,2023-12-20T08:26:41Z,14793,627,20
Should India help China after Massive Earthquake? More than 118 Fatalities and 400 Injured,2023-12-19T15:15:56Z,691559,40431,4005
"No Country Comes Close to India in This field, China is more than 50% behind #shorts",2023-12-19T09:17:10Z,1603061,179013,2414
Daily Current Affairs | 19 December 2023 | Chandramouli Choudhary,2023-12-19T04:04:34Z,18121,630,44
Uttar Pradesh is now India's Second Largest Economy | INDIA'S GDP POWERHOUSE,2023-12-18T12:37:14Z,857467,52473,6579
