Title,Published_date,Views,Likes,Comments
How Helpful were mock interviews for your preparation ?,2024-04-18T04:40:00Z,3710,256,1
The Hindu Analysis by Prashant Tiwari | 18 April 2024 | Current Affairs Today | StudyIQ,2024-04-18T04:17:55Z,13888,1457,48
India Eyes Nvidia Partnership for Affordable AI Chips | Know All About it | UPSC,2024-04-18T03:35:00Z,85653,3702,330
Environment Current Affairs | Class-8 | UPSC Prelims Revision 2024,2024-04-17T17:58:19Z,4722,117,5
Patanjali Misleading Advertisement Case | Contempt of Court?  #Patanjali #babaramdev #supremecourt,2024-04-17T17:22:03Z,72519,4953,145
IRAN or ISRAEL WHICH COUNTRY IS MORE POWERFUL? | Special Animated Video by Prashant Dhawan,2024-04-17T15:20:16Z,689865,34906,3927
UPSC Toppers emotional poetry to Shashank sir,2024-04-17T15:00:49Z,22616,1386,10
Is Russia backstabbing India by helping Pakistan?,2024-04-17T14:30:34Z,107344,7564,60
Strategy to crack UPSC in first attempt by UPSC CSE 2023 Topper Saurabh Sharma AIR 23,2024-04-17T14:30:07Z,12227,566,33
Human rights should be applied differently for different people?,2024-04-17T14:00:54Z,9463,579,3
UPSC CSE 2023 Top 10 Rank Holders List and Their Profile | StudyIQ IAS,2024-04-17T13:37:33Z,41700,982,73
The Incredible Story INS Vikrant | India's First Aircraft Carrier | Indian Navy | UPSC IAS,2024-04-17T13:30:07Z,8837,383,23
"Is Right to Sleep, A Fundamental Right in India? | News@9 Shorts | StudyIQ IAS Hindi",2024-04-17T13:30:03Z,13373,1122,27
आप क्या चुनेंगे काम का अच्छा ज्ञान या अच्छा चरित्र ?,2024-04-17T13:00:51Z,11246,551,5
आपने IAS से पहले IPS को क्यों चुना ? क्या आप IAS की सेवाओं को नकारना चाहते हैं ?,2024-04-17T12:36:48Z,13577,675,4
Role of Fiction | Sociology Optional | UPSC Mains #upsc,2024-04-17T12:17:50Z,3643,178,2
"Jatin Kumar, Rank 364 | IAS - UPSC 2023 | UPSC 2023 Mock Interview | IAS Interview",2024-04-17T12:00:07Z,3205,54,5
"Just like Bihar, should other states adopt Caste-based Census?",2024-04-17T11:30:29Z,18776,865,4
Patanjali and Baba Ramdev in trouble? Coronil Scam? Misleading ads case by Ashish Malviya,2024-04-17T11:30:07Z,28461,1035,341
Daily Current Affairs for all Government Exams by Vasu Katara | 17 April 2024 | StudyIQ IAS,2024-04-17T11:21:05Z,6233,229,3
Why you want to pursue civil services albeit you have a successful startup?,2024-04-17T11:00:09Z,8568,325,1
Best and Most Affordable Set of  18 Books for UPSC IAS Preparation | StudyIQ IAS,2024-04-17T10:30:27Z,3336,232,2
Is Gen Z Becoming Less Religious? | Causes of Atheism | StudyIQ IAS,2024-04-17T10:30:07Z,31097,1673,838
"Study IQ congratulates Kamlesh kumawat , Rank 653 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-17T09:45:04Z,5112,249,4
'Surya Tilak' illuminates Ram Lalla's Forehead in Ayodhya on Ram Navami | Know the Science Behind it,2024-04-17T09:35:00Z,316606,17381,1301
"Study IQ congratulates Dinash Kumar , Rank 1003 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-17T09:30:03Z,4255,184,7
"Study IQ congratulates Reetika Lomor, Rank 935 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-17T09:15:01Z,5062,175,2
What Matters in Winning the Lok Sabha Election? | LS Election 2024 | StudyIQ IAS,2024-04-17T09:04:10Z,9447,297,12
"Study IQ congratulates Rajat Yadav, Rank 799 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-17T09:00:25Z,4030,172,3
"Study IQ congratulates Nazia Parween, Rank 670 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-17T08:39:00Z,9736,413,16
UPSC Topper replies to - Why CBI enquiry is preferred for investigation even by non-ruling parties?,2024-04-17T07:30:15Z,10650,450,4
"Between USA and Iran, which country is strategically more important for India? answer by UPSC Topper",2024-04-17T07:30:03Z,59419,2994,55
Dubai Floods: Heavy Floods Hit Dubai | What Are the Reasons Behind Biblical-Level Flooding? | UPSC,2024-04-17T07:00:29Z,407673,9293,1213
Mapping Through Atlas | Lecture 19 | Orient Black Swan & Oxford Atlas | UPSC IAS,2024-04-17T06:16:12Z,0,20,0
Chhattisgarh Encounter: 29 Maoists Killed | Naxalites | Left Wing Extremism,2024-04-17T05:30:30Z,144768,6993,643
Indian Express Editorial Analysis by Chandan Sharma | 17 April 2024 | UPSC Current Affairs 2024,2024-04-17T05:30:22Z,8833,480,20
We LOVE our Indian Brothers and Sisters says Israel Government after Racism Video goes Viral,2024-04-17T03:59:13Z,781198,45295,3479
The Hindu Analysis by Prashant Tiwari | 17 April 2024 | Current Affairs Today | StudyIQ,2024-04-17T03:49:45Z,24623,2021,79
Why Tejas Crash is good? #india #tejas #news,2024-04-17T02:30:30Z,129625,13259,178
Indian Perspective of Administrative Culture | IIPA Journal Lecture Series | UPSC Mains,2024-04-17T02:19:27Z,4068,84,5
Is this the start of World War 3: Iran vs Israel,2024-04-16T17:35:00Z,192581,16017,169
"Study IQ congratulates Harsh, Rank 376 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T17:25:00Z,11175,478,15
Geography for UPSC Prelims 2024 | Lec - 23  | UPSC Prelims 2024 Revision,2024-04-16T17:17:39Z,6908,158,5
"Study IQ congratulates Vishal Dubey, Rank 296 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T17:15:00Z,10205,464,6
"Study IQ congratulates Aryan Sharma, Rank 352 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T17:05:00Z,10073,491,13
"Study IQ congratulates Jha Samixa Satyendra, Rank 362 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T16:55:00Z,9040,349,8
"Study IQ congratulates Taruna Kamal, Rank 202 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T16:45:00Z,9395,412,13
"Study IQ congratulates Sameer Goel, Rank 222 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T16:30:04Z,5208,208,1
"Study IQ congratulates Rana Dey, Rank 317 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T16:15:04Z,4556,208,2
Amitanshu Nayak Rank 110 | IAS - UPSC 2023 | UPSC 2023 Mock Interview | IAS Interview,2024-04-16T16:09:17Z,6625,161,10
"Study IQ congratulates Megha Agarwal, Rank 206 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T16:00:20Z,5435,205,3
"Study IQ congratulates Girisha Chaudhary, Rank 262 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T15:45:01Z,6883,229,5
"Study IQ congratulates Deepak Yadav, Rank 518 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T15:30:01Z,4866,215,4
"Study IQ congratulates Tanuj Pathak, Rank 72 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T15:15:00Z,4256,225,3
RUSSIAN POWER is helping Iran Stop Israel's Attack | Russian S 300 is a Game Changer,2024-04-16T15:06:16Z,774007,35485,2450
Tanuj Pathak Rank 72 | IAS - UPSC 2023 | UPSC 2023 Mock Interview | IAS Interview,2024-04-16T15:05:22Z,6302,145,6
"Study IQ congratulates Shivam Agarwal, Rank 541 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T15:00:41Z,6881,311,8
Why has Iran directly attacked Israel ? | News@9 Shorts | Amrit Upadhyay | StudyIQ IAS Hindi,2024-04-16T15:00:39Z,8113,549,3
"Study IQ congratulates Danish Rabbani Khan, Rank 446 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T14:45:02Z,4596,198,4
"Study IQ congratulates Amritanshu Nayak, Rank 110 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T14:30:13Z,4508,190,5
Israel could bomb Iran's Nuclear Facilities says IAEA Chief | By Prashant Dhawan,2024-04-16T13:13:03Z,427357,38164,499
Iran - Israel Crisis: Nostradamus Prediction for 2024 Which has Sparked World War 3 Concerns?,2024-04-16T13:00:37Z,30629,2649,26
"China's Economy Grew 5.3% in The First Quarter, Beating Expectations",2024-04-16T12:15:03Z,126570,3924,642
"Prajanandan Giri, Rank 24 | IAS - UPSC 2023 | StudyIQ Feedback",2024-04-16T12:15:02Z,6771,291,5
Will Petrol and Diesel Prices Drop Before the Lok Sabha Election? | UPSC Mains | StudyIQ IAS,2024-04-16T11:38:20Z,4093,85,6
Secular Education | Sociology Optional | UPSC Mains #upsc,2024-04-16T11:30:31Z,3238,204,3
"Prajanandan Giri, Rank 24 | IAS - UPSC 2023 | UPSC 2023 Mock Interview | IAS Interview",2024-04-16T11:25:13Z,14831,464,48
Israel Wants India to Impose Sanctions on Iran | 32 Countries Asked to Take Action,2024-04-16T10:59:28Z,590000,34701,3570
Daily Current Affairs for all Government Exams by Vasu Katara | 16 April 2024 | StudyIQ IAS,2024-04-16T10:54:25Z,5610,198,1
StudyIQ Selected Students in UPSC 2023 | UPSC Result 2023 | IAS Result 2023,2024-04-16T09:57:10Z,32607,670,66
UPSC Result 2023 Out | UPSC Final Result 2023 | UPSC CSE 2023 | IAS Result 2023 #upsc #ias,2024-04-16T09:06:47Z,30377,1713,20
UPSC Final Result 2023 Out | UPSC Result 2023 | UPSC CSE 2023 | IAS Result 2023 | UPSC Result 2024,2024-04-16T08:49:31Z,78185,1483,99
"Election Commission Seizes Record ₹4,650 Crore Ahead of Lok Sabha Polls",2024-04-16T07:32:00Z,131950,5163,536
Indian Express Editorial Analysis by Chandan Sharma | 16 April 2024 | UPSC Current Affairs 2024,2024-04-16T06:09:08Z,11669,602,14
All Missile defence system of Israel: Iran vs Israel #iran #israel #news,2024-04-16T05:30:07Z,213723,11369,223
The Messy Ways in Which Iran-Israel Conflict Will Impact India’s Trade | UPSC,2024-04-16T03:53:00Z,104300,3336,157
Religious Pluralism | Philosophy of Religion | Lec 9 | Philosophy Optional,2024-04-16T01:35:57Z,2935,60,6
Geography for UPSC Prelims 2024 | Lec - 22  | UPSC Prelims 2024 Revision,2024-04-16T00:58:07Z,3919,106,2
All Proxies of Iran: Israel vs Iran #iran #israel #news,2024-04-16T00:30:16Z,204215,10639,147
Mapping Through Atlas | Lecture 18 | Orient Black Swan & Oxford Atlas | UPSC IAS,2024-04-15T22:47:24Z,4191,116,2
Will Israel Bomb Iran Soon? This Could Cause Global Stock Market Crash,2024-04-15T16:47:51Z,833993,40383,2304
Iran vs Israel: How India balances between the two?,2024-04-15T16:00:26Z,154914,12325,231
UPSC IAS Mains Mathematics Optional Syllabus & Exam Pattern | UPSC Mains | StudyIQ IAS,2024-04-15T15:20:00Z,2218,41,2
India and USA will not be friends if China threat isn't there says US Expert | By Prashant Dhawan,2024-04-15T15:03:49Z,364341,41929,1845
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T14:37:55Z,1501,16,3
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T13:52:29Z,1437,12,1
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T13:07:03Z,670,13,1
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T12:48:38Z,1160,13,1
Why did Iran Attack Israel?,2024-04-15T12:30:31Z,76780,5539,51
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T11:42:26Z,1028,16,1
Daily Current Affairs for all Government Exams by Vasu Katara | 15 April 2024 | StudyIQ IAS,2024-04-15T11:31:13Z,8404,302,7
Choose your optional wisely | Sociology Optional | StudyIQ IAS #studyiq  #upsc #ias,2024-04-15T11:30:19Z,6462,277,1
How Iran Became So Powerful ? | Iran Israel War | UPSC GS 2,2024-04-15T11:28:10Z,97820,2376,374
S Jaishankar on Cross-Border Terror: Terrorists Shouldn't Feel Safe Across the Border,2024-04-15T10:45:00Z,235791,9273,519
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T10:02:09Z,2965,44,1
Tesla Signs Strategic Deal with Tata for Semiconductor Chips,2024-04-15T09:00:15Z,150958,6060,394
Indian Constitution through MP Jain | Day 05 | Right to Equality | By Abhinav Goswami,2024-04-15T08:45:19Z,4290,124,2
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T08:34:09Z,989,10,1
Is World War 3 Going To Happen? | Iran-Israel Conflict | Geopolitics Simplified | UPSC Mains,2024-04-15T08:07:42Z,363696,7487,568
StudyIQ's Great Indian Festival Sale Ends Today  | The Biggest Discounts on all Courses | UPSC,2024-04-15T07:58:34Z,804,8,1
Important Information For StudyIQ Family By Prashant Dhawan,2024-04-15T07:43:31Z,13940,532,12
Stock Market Fall As FPIs Pull Out $1 Bn After India’s Tax Treaty with Mauritius,2024-04-15T07:00:15Z,180770,4981,191
Unknown Gunman Hits Pakistan Again | सरबजीत सिंह के हत्यारे की पाकिस्तान में हत्या,2024-04-15T06:00:04Z,742579,46049,2638
Indian Express Editorial Analysis by Chandan Sharma | 15 April 2024 | UPSC Current Affairs 2024,2024-04-15T05:35:40Z,10949,522,14
Don't Miss Last Day of the Sale for maximum discount on all UPSC Batches #upsc #ias #ips,2024-04-15T05:08:05Z,10233,349,11
BJP Vs Congress in Lok Sabha Elections 2024: A detailed Comparison of Manifestos,2024-04-15T04:51:31Z,237695,8850,2252
Polar Vortex Reversed: How and Why Did This Happen? | Geography in News | UPSC Mains,2024-04-15T04:34:37Z,6988,223,8
Top 100 MCQs Reasoning | For All Exams | IBPS | SSC | SEBI | NABARD | SBI PO@BankandSSCStudyIQ,2024-04-15T02:21:50Z,10164,150,4
Can India connect Atlantic with the Pacific: IMT Highway vs IMEC #india #worldaffairs #geography,2024-04-14T17:00:27Z,119826,10285,48
Microsoft Excel Course for Beginners to Advanced 2024 | @StudyIQSkills,2024-04-14T15:40:21Z,4707,151,15
Israel Destroyed 99% of Iran's Attack | Did Iran Fail Badly in their Operation? By Prashant Dhawan,2024-04-14T13:33:48Z,1078664,52210,5335
How Are  mass developed | Sociology Optional | StudyIQ IAS #studyiq  #upsc #ias,2024-04-14T11:30:24Z,8728,412,4
Gold Prices Hit A Record High | What's Behind The Surge? | UPSC Mains,2024-04-14T11:00:35Z,208016,6174,371
Turkvel River | Suam River | Map in Short | Amrit Upadhyay | UPSC 2024| StudyIQ IAS Hindi,2024-04-14T10:30:29Z,32484,2121,5
Indian Army Most Deadliest Regiment - Gorkhas | Know All About it | UPSC GS 3 Internal Security,2024-04-14T10:30:07Z,61020,2845,290
Score 300+ in Optional by Following this Strategy | UPSC Preparation 2025,2024-04-14T10:29:19Z,5113,161,3
StudyIQ's Great Indian Festival Sale Ends Tomorrow | The Biggest Discounts on all Courses | UPSC,2024-04-14T09:53:24Z,5799,88,4
Iran's Insane Video of Hypersonic Missile after attack on Israel | By Prashant Dhawan,2024-04-14T09:17:13Z,2917643,167956,3049
StudyIQ's Great Indian Festival Sale Ends Tomorrow | The Biggest Discounts on all Courses | UPSC,2024-04-14T09:07:47Z,1996,21,1
Sociology Simplified | Daily 3 Concepts for UPSC Mains | Lec 5 | Sociology Optional | StudyIQ IAS,2024-04-14T08:53:01Z,2174,59,2
Indian Constitution through MP Jain | Day 04 | State & Law | By Abhinav Goswami,2024-04-14T08:41:27Z,6169,253,3
"Explained: Who Are Revolutionary Guards, Group That Calls The Shots In Iran",2024-04-14T08:03:40Z,136488,4146,797
Is Iron Age in India Way Older than Earlier Thought | Anthropology Optional | StudyIQ IAS,2024-04-14T07:04:17Z,4571,113,2
Is Iron Age in India Way Older than earlier thought  | Anthropology Optional,2024-04-14T07:00:30Z,37955,2852,28
CBI FIR Against 2nd-Biggest Electoral Bond Buyer Megha Engineering in Alleged Bribery Case,2024-04-14T07:00:09Z,134297,3628,413
Iran captures Israeli ship with 17 Indians | Will Indian Navy Respond? By Prashant Dhawan,2024-04-14T05:40:54Z,865774,46319,2867
StudyIQ Great Indian Festival sale #studyiq,2024-04-14T05:30:24Z,3317,252,14
Criminalisation of Politics in India | Public Administration Optional | StudyIQ IAS,2024-04-14T03:48:14Z,5489,150,4
IRAN ATTACKS ISRAEL with 200 Missiles and Drones | Videos Go Viral All Over the World,2024-04-14T03:32:51Z,2387222,87316,5988
Constrained Motion | Part 1 | Mathematics Optional | UPSC Mains | StudyIQ IAS,2024-04-13T21:31:29Z,3977,38,1
UPSC Mains Answer Writing for Public Administration Optional | StudyIQ IAS,2024-04-13T17:32:13Z,5519,97,2
Anti India stance again in Maldives #India #Maldives #news,2024-04-13T17:00:32Z,148718,10766,161
13th  April 1919: Jallianwala Bagh Massacre | News@9 Shorts | Amrit Upadhyay | StudyIQ IAS Hindi,2024-04-13T13:30:32Z,34375,2599,27
Who is Riddhi Patel? And Why is She Trending on World News? Israel Gaza Controversy,2024-04-13T13:24:09Z,905966,45133,8744
Who is Syed Abdul Rahim? The Indian Football Icon Whose Story is Retold in Bollywood Movie Maidaan,2024-04-13T12:30:43Z,26309,1922,14
Environment Current Affairs | Class-7 | UPSC Prelims Revision 2024,2024-04-13T11:53:04Z,5049,199,12
Difference between house and home | Sociology Optional | StudyIQ IAS #studyiq  #upsc #ias,2024-04-13T11:30:23Z,11679,577,2
The Demand For Khalistan - Biggest Internal Security Threat | UPSC GS 3 | Analysis by Ashish Malviya,2024-04-13T11:30:07Z,19698,657,146
Sathyamangalam Tiger Reserve | Map in Short | Amrit Upadhyay | UPSC2024 | StudyIQ IAS Hindi,2024-04-13T10:30:20Z,14655,942,5
Mapping Through Atlas | Lecture 17 | Orient Black Swan & Oxford Atlas | UPSC IAS,2024-04-13T10:08:55Z,6108,200,3
"Bengaluru Rameswaram Cafe Blast | NIA Arrests Two Including Alleged 'Mastermind, From Bengal | UPSC",2024-04-13T09:10:16Z,161511,7506,1078
Why Indian Language are Dying? | Anthropology Optional | Studyiq IAS # #upsc #india,2024-04-13T09:00:16Z,21968,1246,18
Indian Constitution through MP Jain | Day 03 | Citizenship  | By Abhinav Goswami,2024-04-13T08:57:52Z,5763,243,6
Sociology Simplified | Daily 3 Concepts for UPSC Mains | Lec 4 | Sociology Optional | StudyIQ IAS,2024-04-13T08:48:36Z,1431,38,1
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-13T08:32:58Z,1328,16,1
Why Indian Languages are dying | Anthropology Optional | StudyIQ IAS,2024-04-13T07:43:08Z,5766,145,20
Indian Army Released this Beautiful Video of OPERATION MEGHDOOT,2024-04-13T07:24:33Z,606649,84874,736
StudyIQ Great Indian Festival sale  #studyiq,2024-04-13T06:00:07Z,2765,205,2
Hindustan Shipyard Terminates Contract with Turkey in Navy's Project | UPSC,2024-04-13T05:30:08Z,149449,6526,381
Huge Discount on all UPSC Courses #upsc #ias #ips #cse,2024-04-13T05:07:10Z,6660,294,4
Massive Attack on Northern Israel By Hezbollah | Global Stock Markets Fall in Panic over Iran attack,2024-04-13T03:56:28Z,1154531,72028,2220
The Hindu Analysis by Prashant Tiwari | 13 April 2024 | Current Affairs Today | StudyIQ,2024-04-13T03:12:36Z,35506,2286,86
Geography for UPSC Prelims 2024 | Lec - 21  | UPSC Prelims 2024 Revision,2024-04-13T01:30:35Z,4521,149,9
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-12T19:42:34Z,2810,24,1
UPSC 2025 Strategy | UPSC IAS 2025 Exam Preparation to Cover Prelims & Mains | StudyIQ IAS,2024-04-12T18:08:49Z,9526,309,15
Pakistan says BrahMos misfire was not a misfire,2024-04-12T17:00:20Z,550714,31826,169
DON'T GO TO ISRAEL or IRAN says Indian Government | Russian Army Deployed Near Israel,2024-04-12T16:59:21Z,696471,34382,2018
StudyIQ Great Indian Festival sale,2024-04-12T14:12:51Z,58180,268,2
Complete UPSC CSAT Reasoning | Lecture 2 - Number Series | UPSC Prelims | StudyIQ IAS,2024-04-12T14:05:02Z,5393,162,6
Taliban Wants Hindus and Sikhs Back!  हिंदुओं-सिखों की हड़पी जमीन लौटा रहा तालिबान,2024-04-12T13:36:45Z,545442,31564,2177
SBI refuses to disclose details of Electoral Bonds under RTI Act | News@9 Shorts | StudyIQ IAS Hindi,2024-04-12T13:30:15Z,17913,908,7
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-12T12:50:46Z,959,10,2
History of Elections in India,2024-04-12T12:30:18Z,37445,3623,32
Morality of intentions | Sociology Optional | StudyIQ IAS #studyiq  #upsc #iasprep,2024-04-12T11:30:00Z,6884,283,2
Daily Current Affairs for all Government Exams by Vasu Katara | 12 April 2024 | StudyIQ IAS,2024-04-12T11:02:31Z,6374,256,9
Best way to Start UPSC IAS Preparation | Chandan Sharma | StudyIQ IAS,2024-04-12T11:00:49Z,9244,466,4
Red Sea | Middle East | Map in Short | Amrit Upadhyay | UPSC 2024 |StudyIQ IAS Hindi,2024-04-12T10:30:09Z,37729,2785,7
Gopichand Thotakura | India's Second Citizen in Space After Rakesh Sharma | UPSC Mains,2024-04-12T10:26:17Z,68931,2993,124
Mapping Through Atlas | Lecture 16 | Orient Black Swan & Oxford Atlas | UPSC IAS,2024-04-12T10:09:15Z,2854,121,4
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-12T10:03:25Z,3535,57,4
Sociology Simplified | Daily 3 Concepts for UPSC Mains | Lec 3 | Sociology Optional | StudyIQ IAS,2024-04-12T09:37:12Z,2474,33,1
Indian Constitution through MP Jain | Day 02 | Union & its Territory | By Abhinav Goswami,2024-04-12T08:42:30Z,4811,211,6
Viral Hepatitis Crisis | WHO Issues Warning as India Battles High Infection Rates | UPSC Mains,2024-04-12T07:40:00Z,236417,6174,345
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-12T07:13:36Z,813,8,1
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-12T06:50:47Z,1150,14,1
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-12T06:00:07Z,1589,16,1
Indian Express Editorial Analysis by Chandan Sharma | 12 April 2024 | UPSC Current Affairs 2024,2024-04-12T05:53:33Z,11927,644,21
How to start Preparation for UPSC 2025? | New Batch Launch | StudyIQ IAS,2024-04-12T05:51:21Z,5841,113,10
Maldives is coming to Indian Roads and wants more India Tourists | By Prashant Dhawan,2024-04-12T04:53:30Z,1995933,129973,4664
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-12T04:30:07Z,920,17,2
Indian Railways Unveils Rs 2 Lakh Crore Plan for Three New Dedicated Freight Corridors | UPSC,2024-04-12T03:56:21Z,189296,7061,733
The Hindu Analysis by Prashant Tiwari | 12 April 2024 | Current Affairs Today | StudyIQ,2024-04-12T03:35:53Z,26164,1896,59
Science and Technology Marathon Class for UPSC Prelims 2024 | By GS Gill,2024-04-12T02:39:05Z,22937,892,36
Distribution of Legislative & Executive Powers | Lec 35 | Indian Polity Simplified | DD Basu Series,2024-04-12T00:30:25Z,5864,183,7
Daily Current Affairs for all Government Exams by Vasu Katara | 11 April 2024 | StudyIQ IAS,2024-04-11T23:12:00Z,8899,296,8
How the EPA is Addressing the Menace of 'Forever Chemicals' through PFAS Regulation | UPSC Mains,2024-04-11T17:04:28Z,15803,425,16
China Starts Crying about Elon Musk's India Visit!! Asks Tesla to not Shift Manufacturing to India,2024-04-11T16:39:34Z,766424,42323,2721
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-11T16:35:14Z,1169,15,1
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-11T16:07:11Z,6894,44,3
Democracy versus dictatorship debate in India is manufactured,2024-04-11T14:30:09Z,47474,4359,76
StudyIQ's Great Indian Festival Sale Starts Today | The Biggest Discounts on all Courses | UPSC,2024-04-11T14:10:53Z,1319,17,1
Analyzing the Potential for EU to Expel USA from NATO | Geopolitics Simplified | StudyIQ IAS,2024-04-11T14:08:06Z,113179,2845,148
Global Unicorn Index 2024 | News@9 Shorts | Amrit Upadhyay | StudyIQ IAS Hindi,2024-04-11T13:30:31Z,20142,1316,4
Iran Could Block Strait of Hormuz | This Will Hurt India Badly | By Prashant Dhawan,2024-04-11T13:30:04Z,482305,26588,1010
Right Against Climate Change a Distinct Fundamental & Human Right : Supreme Court,2024-04-11T12:30:30Z,16145,1406,11
Apple Issues Alert for India & 91 Other Countries Against Pegasus-Type Mercenary Spyware | UPSC,2024-04-11T11:49:06Z,123813,3898,291
Man is Condemned to be Free | Philosophy Optional | StudyIQ IAS #UPSC #IAS,2024-04-11T11:30:29Z,9592,425,2
SkillENG 3.0 - New Batch to master Spoken English & Corporate Communication | @StudyIQSkills,2024-04-11T10:55:52Z,6548,353,21
Europe | Map in Short | Amrit Upadhyay | UPSC 2024 | StudyIQ IAS Hindi,2024-04-11T10:32:57Z,127572,9465,79
How Indian Opium Shaped British Colonial Expansion Across the World | UPSC Mains GS 1,2024-04-11T09:30:06Z,19729,731,17
Indian Constitution through MP Jain | Day 01 | Preamble | By Abhinav Goswami,2024-04-11T08:44:47Z,7583,433,22
Complete Geography in 3D | Lec 1 - Interior of Earth | StudyIQ IAS,2024-04-11T08:30:07Z,9522,458,20
